Pokemon,Item,Ability,Tera Type,Move 1,Move 2,Move 3,Move 4,Rank,Wins,Losses,Tournament
Roaring Moon ,Booster Energy,Protosynthesis,Poison, Protect, Knock Off, Breaking Swipe, Tailwind,142,6,3,North America International
Heatran ,Leftovers,Flash Fire,Grass, Protect, Heat Wave, Earth Power, Substitute,142,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Shadow Ball, Dazzling Gleam, Power Gem,142,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Spiky Shield, Ivy Cudgel, Horn Leech, Follow Me,142,6,3,North America International
Farigiraf ,Sitrus Berry,Armor Tail,Steel, Protect, Psychic, Hyper Voice, Trick Room,142,6,3,North America International
Raging Bolt ,Booster Energy,Protosynthesis,Fairy, Protect, Calm Mind, Thunderclap, Dragon Pulse,143,6,3,North America International
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Fire, Protect, Surging Strikes, Close Combat, Aqua Jet,143,6,3,North America International
Incineroar ,Shuca Berry,Intimidate,Ghost, Flare Blitz, Fake Out, Parting Shot, WillOWisp,143,6,3,North America International
Gholdengo ,Leftovers,Good as Gold,Fairy, Protect, Nasty Plot, Make It Rain, Shadow Ball,143,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Wood Hammer, Fake Out, Grassy Glide, Uturn,143,6,3,North America International
ChienPao ,Clear Amulet,Sword of Ruin,Fire, Protect, Sucker Punch, Icicle Crash, Sacred Sword,143,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Icy Wind, Taunt, Protect,144,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Draco Meteor, Electroweb, Snarl,144,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Protect,144,6,3,North America International
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Wood Hammer, Stomping Tantrum, Spiky Shield,144,6,3,North America International
Landorus ,Life Orb,Sheer Force,Steel, Earth Power, Sludge Bomb, Substitute, Protect,144,6,3,North America International
Rillaboom ,Meadow Plate,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Fake Out, Uturn,144,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Fairy, Heat Crash, Breaking Swipe, Howl, Burning Bulwark,145,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Icicle Crash, Sucker Punch, Sacred Sword, Protect,145,6,3,North America International
Rillaboom ,Miracle Seed,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Taunt, Fake Out,145,6,3,North America International
Kingambit ,Assault Vest,Defiant,Fairy, Kowtow Cleave, Iron Head, Sucker Punch, Low Kick,145,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Substitute, Protect,145,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,145,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Close Combat, Wicked Blow, Sucker Punch, Protect,146,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Substitute, Protect,146,6,3,North America International
ChiYu ,Choice Specs,Beads of Ruin,Ghost, Dark Pulse, Heat Wave, Overheat, Snarl,146,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Dragon Pulse, Electroweb, Snarl,146,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Horn Leech, Ivy Cudgel, Follow Me, Spiky Shield,146,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Icy Wind, Protect,146,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Close Combat, Wicked Blow, Sucker Punch, Detect,147,6,3,North America International
Cresselia ,Rocky Helmet,Levitate,Ghost, Stored Power, Dazzling Gleam, Calm Mind, Moonlight,147,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Dazzling Gleam, Icy Wind, Taunt, Protect,147,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,147,6,3,North America International
Entei ,Life Orb,Inner Focus,Grass, Sacred Fire, Extreme Speed, Stone Edge, Protect,147,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Draco Meteor, Electroweb, Thunderclap, Snarl,147,6,3,North America International
ChiYu ,Choice Scarf,Beads of Ruin,Ghost, Overheat, Heat Wave, Dark Pulse, Snarl,148,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Icy Wind,148,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Drain Punch, Wild Charge, Heavy Slam,148,6,3,North America International
Tatsugiri ,Focus Sash,Commander,Water, Draco Meteor, Muddy Water, Taunt, Protect,148,6,3,North America International
Glimmora ,Power Herb,Toxic Debris,Grass, Meteor Beam, Sludge Bomb, Earth Power, Spiky Shield,148,6,3,North America International
Dondozo ,Rocky Helmet,Unaware,Fairy, Wave Crash, Order Up, Earthquake, Protect,148,6,3,North America International
Incineroar ,Sitrus Berry,Intimidate,Ghost, Flare Blitz, Fake Out, Taunt, Parting Shot,149,6,3,North America International
Amoonguss ,Rocky Helmet,Regenerator,Fairy, Pollen Puff, Spore, Rage Powder, Protect,149,6,3,North America International
Roaring Moon ,Booster Energy,Protosynthesis,Flying, Knock Off, Acrobatics, Dragon Dance, Protect,149,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,149,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Perish Song,149,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Bug, Wild Charge, Drain Punch, Heavy Slam, Fake Out,149,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,150,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Close Combat, Wicked Blow, Sucker Punch, Detect,150,6,3,North America International
ArcanineHisui ,Choice Band,Intimidate,Grass, Flare Blitz, Head Smash, Rock Slide, Extreme Speed,150,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Icy Wind, Taunt, Protect,150,6,3,North America International
Landorus ,Life Orb,Sheer Force,Steel, Earth Power, Sludge Bomb, Substitute, Protect,150,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Electroweb, Dragon Pulse, Snarl,150,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Steel, Surging Strikes, Aqua Jet, Close Combat, Uturn,151,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Protect, Earth Power, Sludge Bomb, Imprison,151,6,3,North America International
ArcanineHisui ,Choice Band,Intimidate,Normal, Rock Slide, Flare Blitz, Extreme Speed, Head Smash,151,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Protect, Icicle Crash, Sucker Punch, Sacred Sword,151,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Grassy Glide, Wood Hammer, Uturn, Fake Out,151,6,3,North America International
Raging Bolt ,Leftovers,Protosynthesis,Fairy, Protect, Thunderclap, Dragon Pulse, Calm Mind,151,6,3,North America International
LandorusTherian ,Choice Band,Intimidate,Fairy, Earthquake, Rock Slide, Stomping Tantrum, Uturn,152,6,3,North America International
Tornadus ,Rocky Helmet,Prankster,Steel, Bleakwind Storm, Taunt, Tailwind, Rain Dance,152,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Sucker Punch, Close Combat, Detect,152,6,3,North America International
Gholdengo ,Metal Coat,Good as Gold,Fairy, Make It Rain, Shadow Ball, Nasty Plot, Protect,152,6,3,North America International
Glimmora ,Power Herb,Toxic Debris,Grass, Meteor Beam, Sludge Bomb, Earth Power, Spiky Shield,152,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,152,6,3,North America International
Incineroar ,Sitrus Berry,Intimidate,Ghost, Fake Out, Flare Blitz, Knock Off, Parting Shot,153,6,3,North America International
Gholdengo ,Leftovers,Good as Gold,Fairy, Protect, Nasty Plot, Make It Rain, Shadow Ball,153,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Dragon Pulse, Snarl, Electroweb,153,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Spiky Shield, Follow Me, Horn Leech, Ivy Cudgel,153,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Protect, Ice Spinner, Sucker Punch, Sacred Sword,153,6,3,North America International
Amoonguss ,Rocky Helmet,Regenerator,Water, Spore, Rage Powder, Pollen Puff, Clear Smog,153,6,3,North America International
ChiYu ,Choice Specs,Beads of Ruin,Fire, Heat Wave, Snarl, Overheat, Dark Pulse,154,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Steel, Tailwind, Bleakwind Storm, Taunt, Sunny Day,154,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Spiky Shield, Follow Me, Wood Hammer, Ivy Cudgel,154,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Protect, Dazzling Gleam, Icy Wind,154,6,3,North America International
Farigiraf ,Throat Spray,Armor Tail,Fairy, Protect, Hyper Voice, Psychic, Trick Room,154,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Detect, Wicked Blow, Close Combat, Sucker Punch,154,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sandsear Storm, Sludge Bomb, Protect,155,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Ghost, Surging Strikes, Close Combat, Uturn, Ice Spinner,155,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Steel, Tailwind, Bleakwind Storm, Rain Dance, Protect,155,6,3,North America International
Rillaboom ,Meadow Plate,Grassy Surge,Ghost, Fake Out, Grassy Glide, Wood Hammer, Taunt,155,6,3,North America International
Baxcalibur ,Clear Amulet,Thermal Exchange,Poison, Ice Shard, Icicle Crash, Glaive Rush, Protect,155,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Grass, Heat Crash, Breaking Swipe, Howl, Burning Bulwark,155,6,3,North America International
Whimsicott ,Focus Sash,Prankster,Ghost, Tailwind, Fake Tears, Beat Up, Dazzling Gleam,156,6,3,North America International
Farigiraf ,Throat Spray,Armor Tail,Fairy, Hyper Voice, Psyshock, Protect, Trick Room,156,6,3,North America International
Glimmora ,Power Herb,Toxic Debris,Grass, Meteor Beam, Sludge Bomb, Earth Power, Spiky Shield,156,6,3,North America International
ChiYu ,Choice Specs,Beads of Ruin,Grass, Heat Wave, Overheat, Dark Pulse, Snarl,156,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Dazzling Gleam, Moonblast, Icy Wind, Protect,156,6,3,North America International
Terrakion ,Covert Cloak,Justified,Grass, Rock Slide, Close Combat, Upper Hand, Protect,156,6,3,North America International
Tornadus ,Focus Sash,Prankster,Ghost, Protect, Bleakwind Storm, Tailwind, Rain Dance,157,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Protect, Moonblast, Shadow Ball, Dazzling Gleam,157,6,3,North America International
Amoonguss ,Sitrus Berry,Regenerator,Water, Protect, Sludge Bomb, Spore, Rage Powder,157,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Water, Close Combat, Surging Strikes, Aqua Jet, Uturn,157,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Grass, Fake Out, Parting Shot, Flare Blitz, Knock Off,157,6,3,North America International
Landorus ,Life Orb,Sheer Force,Steel, Protect, Earth Power, Substitute, Sludge Bomb,157,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Solar Blade, Follow Me, Spiky Shield,158,6,3,North America International
Gouging Fire ,Clear Amulet,Protosynthesis,Fire, Heat Crash, Breaking Swipe, Dragon Dance, Burning Bulwark,158,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Steel, Bleakwind Storm, Sunny Day, Tailwind, Taunt,158,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Icy Wind,158,6,3,North America International
Raging Bolt ,Magnet,Protosynthesis,Electric, Thunderbolt, Thunderclap, Draco Meteor, Protect,158,6,3,North America International
Torkoal ,Eject Pack,Drought,Grass, Eruption, Overheat, Helping Hand, Protect,158,6,3,North America International
Gholdengo ,Leftovers,Good as Gold,Fairy, Make It Rain, Shadow Ball, Nasty Plot, Protect,159,6,3,North America International
Amoonguss ,Sitrus Berry,Regenerator,Water, Rage Powder, Spore, Pollen Puff, Protect,159,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,159,6,3,North America International
Incineroar ,Figy Berry,Intimidate,Ghost, Fake Out, Flare Blitz, Knock Off, Parting Shot,159,6,3,North America International
Ursaluna ,Flame Orb,Guts,Ghost, Facade, Headlong Rush, Swords Dance, Protect,159,6,3,North America International
Porygon2 ,Eviolite,Download,Poison, Tera Blast, Ice Beam, Trick Room, Recover,159,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Snarl, Thunderbolt, Draco Meteor,160,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,160,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Flare Blitz, Knock Off, Parting Shot, Fake Out,160,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Shadow Ball, Moonblast, Icy Wind, Dazzling Gleam,160,6,3,North America International
Landorus ,Life Orb,Sheer Force,Steel, Earth Power, Sludge Bomb, Substitute, Protect,160,6,3,North America International
Amoonguss ,Sitrus Berry,Regenerator,Fairy, Spore, Sludge Bomb, Protect, Rage Powder,160,6,3,North America International
Iron Moth ,Power Herb,Quark Drive,Dragon, Protect, Overheat, Heat Wave, Meteor Beam,161,6,3,North America International
Raging Bolt ,Leftovers,Protosynthesis,Fairy, Protect, Calm Mind, Dragon Pulse, Thunderclap,161,6,3,North America International
WoChien ,Assault Vest,Tablets of Ruin,Fairy, Snarl, Giga Drain, Ruination, Pollen Puff,161,6,3,North America International
Porygon2 ,Eviolite,Download,Poison, Tera Blast, Ice Beam, Trick Room, Recover,161,6,3,North America International
EnamorusTherian ,Life Orb,Overcoat,Fairy, Protect, Moonblast, Dazzling Gleam, Earth Power,161,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Poison, Surging Strikes, Close Combat, Uturn, Poison Jab,161,6,3,North America International
Porygon2 ,Eviolite,Download,Ghost, Recover, Ice Beam, Tera Blast, Trick Room,162,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Power Whip, Follow Me, Spiky Shield,162,6,3,North America International
Dragonite ,Life Orb,Inner Focus,Normal, Ice Spinner, Stomping Tantrum, Extreme Speed, Protect,162,6,3,North America International
Kingambit ,Assault Vest,Defiant,Fairy, Low Kick, Iron Head, Assurance, Sucker Punch,162,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Grass, Howl, Sunny Day, Breaking Swipe, Heat Crash,162,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Dazzling Gleam, Shadow Ball, Moonblast, Misty Terrain,162,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Steel, Bleakwind Storm, Tailwind, Rain Dance, Protect,163,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Water, Surging Strikes, Aqua Jet, Close Combat, Uturn,163,6,3,North America International
Archaludon ,Assault Vest,Stamina,Bug, Electro Shot, Flash Cannon, Dragon Pulse, Body Press,163,6,3,North America International
Baxcalibur ,Clear Amulet,Thermal Exchange,Poison, Glaive Rush, Ice Shard, Icicle Crash, Protect,163,6,3,North America International
Amoonguss ,Sitrus Berry,Regenerator,Steel, Grass Knot, Spore, Rage Powder, Protect,163,6,3,North America International
Gholdengo ,Metal Coat,Good as Gold,Fairy, Make It Rain, Nasty Plot, Shadow Ball, Protect,163,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Fake Out, Wood Hammer, Grassy Glide, Uturn,164,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Icicle Crash, Sucker Punch, Sacred Sword, Protect,164,6,3,North America International
Raging Bolt ,Booster Energy,Protosynthesis,Fairy, Dragon Pulse, Thunderclap, Calm Mind, Protect,164,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Fire, Surging Strikes, Close Combat, Aqua Jet, Uturn,164,6,3,North America International
Gholdengo ,Leftovers,Good as Gold,Fairy, Make It Rain, Shadow Ball, Nasty Plot, Protect,164,6,3,North America International
Incineroar ,Sitrus Berry,Intimidate,Ghost, Fake Out, Flare Blitz, Taunt, Parting Shot,164,6,3,North America International
Kingambit ,Black Glasses,Defiant,Dark, Kowtow Cleave, Sucker Punch, Iron Head, Protect,165,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Fairy, Breaking Swipe, Heat Crash, Howl, Burning Bulwark,165,6,3,North America International
Baxcalibur ,Clear Amulet,Thermal Exchange,Bug, Glaive Rush, Icicle Crash, Ice Shard, Protect,165,6,3,North America International
Raging Bolt ,Magnet,Protosynthesis,Electric, Rising Voltage, Thunderclap, Draco Meteor, Protect,165,6,3,North America International
LandorusTherian ,Choice Band,Intimidate,Water, Uturn, Stomping Tantrum, Earthquake, Tera Blast,165,6,3,North America International
Thundurus ,Sitrus Berry,Prankster,Ghost, Thunderbolt, Eerie Impulse, Thunder Wave, Electric Terrain,165,6,3,North America International
Farigiraf ,Sitrus Berry,Armor Tail,Fire, Psychic, Helping Hand, Dazzling Gleam, Trick Room,166,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Spiky Shield, Wood Hammer, Follow Me,166,6,3,North America International
Torkoal ,Charcoal,Drought,Fire, Eruption, Weather Ball, Helping Hand, Protect,166,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Icy Wind, Shadow Ball, Dazzling Gleam,166,6,3,North America International
Roaring Moon ,Clear Amulet,Protosynthesis,Fire, Breaking Swipe, Knock Off, Protect, Tera Blast,166,6,3,North America International
UrsalunaBloodmoon ,Life Orb,Mind’s Eye,Normal, Blood Moon, Hyper Voice, Earth Power, Protect,166,6,3,North America International
Glimmora ,Sitrus Berry,Corrosion,Grass, Power Gem, Mortal Spin, Toxic Spikes, Spiky Shield,167,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Icicle Crash, Sucker Punch, Sacred Sword, Protect,167,6,3,North America International
TingLu ,Rocky Helmet,Vessel of Ruin,Poison, Sand Tomb, Ruination, Taunt, Protect,167,6,3,North America International
Dragonite ,Assault Vest,Inner Focus,Fairy, Dragon Claw, Extreme Speed, Stomping Tantrum, Ice Spinner,167,6,3,North America International
Dondozo ,Leftovers,Oblivious,Fairy, Wave Crash, Heavy Slam, Yawn, Protect,167,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Fairy, Breaking Swipe, Heat Crash, Howl, Burning Bulwark,167,6,3,North America International
Torkoal ,Charcoal,Drought,Fire, Eruption, Heat Wave, Earth Power, Protect,168,6,3,North America International
ArcanineHisui ,Clear Amulet,Intimidate,Grass, Flare Blitz, Head Smash, Rock Slide, Extreme Speed,168,6,3,North America International
Mamoswine ,Life Orb,Oblivious,Ice, Icicle Crash, High Horsepower, Ice Shard, Protect,168,6,3,North America International
Whimsicott ,Covert Cloak,Prankster,Dark, Moonblast, Tailwind, Sunny Day, Encore,168,6,3,North America International
Flutter Mane ,Focus Sash,Protosynthesis,Stellar, Shadow Ball, Dazzling Gleam, Power Gem, Protect,168,6,3,North America International
Farigiraf ,Throat Spray,Armor Tail,Fairy, Hyper Voice, Psyshock, Trick Room, Protect,168,6,3,North America International
Regidrago ,Dragon Fang,Dragon's Maw,Steel, Dragon Energy, Draco Meteor, Earth Power, Protect,169,6,3,North America International
Tornadus ,Focus Sash,Prankster,Steel, Bleakwind Storm, Tailwind, Rain Dance, Protect,169,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Water, Surging Strikes, Close Combat, Uturn, Aqua Jet,169,6,3,North America International
IndeedeeF ,Rocky Helmet,Psychic Surge,Fairy, Follow Me, Dazzling Gleam, Helping Hand, Trick Room,169,6,3,North America International
Iron Crown ,Booster Energy,Quark Drive,Water, Expanding Force, Tachyon Cutter, Tera Blast, Protect,169,6,3,North America International
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Wood Hammer, Follow Me, Spiky Shield,169,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Grass, Breaking Swipe, Heat Crash, Howl, Sunny Day,170,6,3,North America International
Porygon2 ,Eviolite,Download,Ghost, Ice Beam, Tera Blast, Recover, Trick Room,170,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Horn Leech, Ivy Cudgel, Follow Me, Spiky Shield,170,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Dazzling Gleam, Moonblast, Shadow Ball, Misty Terrain,170,6,3,North America International
Kingambit ,Assault Vest,Defiant,Fairy, Assurance, Low Kick, Sucker Punch, Iron Head,170,6,3,North America International
Dragonite ,Life Orb,Inner Focus,Normal, Extreme Speed, Ice Spinner, Stomping Tantrum, Protect,170,6,3,North America International
Farigiraf ,Throat Spray,Armor Tail,Fairy, Hyper Voice, Psyshock, Trick Room, Protect,171,6,3,North America International
Raging Bolt ,Life Orb,Protosynthesis,Electric, Thunderbolt, Thunderclap, Draco Meteor, Protect,171,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Icy Wind,171,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Ice Spinner, Sacred Sword, Sucker Punch, Protect,171,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Wood Hammer, Follow Me, Spiky Shield,171,6,3,North America International
Torkoal ,Charcoal,Drought,Fire, Eruption, Helping Hand, Weather Ball, Protect,171,6,3,North America International
Kingambit ,Black Glasses,Defiant,Dragon, Kowtow Cleave, Sucker Punch, Swords Dance, Protect,172,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Substitute, Protect,172,6,3,North America International
Gouging Fire ,Booster Energy,Protosynthesis,Fairy, Heat Crash, Breaking Swipe, Howl, Burning Bulwark,172,6,3,North America International
Rillaboom ,Miracle Seed,Grassy Surge,Fire, Wood Hammer, Fake Out, Grassy Glide, Taunt,172,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Dazzling Gleam, Moonblast, Shadow Ball, Mystical Fire,172,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,172,6,3,North America International
Torkoal ,Charcoal,Drought,Fire, Eruption, Heat Wave, Helping Hand, Protect,173,6,3,North America International
LilligantHisui ,Focus Sash,Chlorophyll,Ghost, Sleep Powder, Close Combat, Protect, After You,173,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Thunderclap, Thunderbolt, Snarl, Dragon Pulse,173,6,3,North America International
Farigiraf ,Throat Spray,Armor Tail,Fairy, Protect, Hyper Voice, Psychic, Trick Room,173,6,3,North America International
Incineroar ,Clear Amulet,Intimidate,Grass, Fake Out, Flare Blitz, Knock Off, Throat Chop,173,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Thunderbolt,173,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Fire, Surging Strikes, Close Combat, Fire Punch, Uturn,174,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Uturn, Fake Out,174,6,3,North America International
Dusclops ,Eviolite,Pressure,Fairy, Night Shade, WillOWisp, Haze, Trick Room,174,6,3,North America International
Ursaluna ,Flame Orb,Guts,Ghost, Facade, Headlong Rush, Substitute, Protect,174,6,3,North America International
Raging Bolt ,Booster Energy,Protosynthesis,Bug, Dragon Pulse, Thunderclap, Calm Mind, Protect,174,6,3,North America International
Incineroar ,Sitrus Berry,Intimidate,Ghost, Flare Blitz, Fake Out, Taunt, Parting Shot,174,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Snarl, Electroweb, Dragon Pulse,175,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Close Combat, Wicked Blow, Sucker Punch, Protect,175,6,3,North America International
Landorus ,Life Orb,Sheer Force,Steel, Earth Power, Sludge Bomb, Substitute, Protect,175,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Icy Wind, Taunt, Protect,175,6,3,North America International
Entei ,Choice Band,Inner Focus,Normal, Sacred Fire, Extreme Speed, Stomping Tantrum, Flare Blitz,175,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Wood Hammer, Follow Me, Spiky Shield,175,6,3,North America International
Roaring Moon ,Booster Energy,Protosynthesis,Flying, Acrobatics, Knock Off, Protect, Dragon Dance,176,6,3,North America International
Porygon2 ,Eviolite,Download,Poison, Tera Blast, Ice Beam, Trick Room, Recover,176,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Substitute, Protect,176,6,3,North America International
Gholdengo ,Metal Coat,Good as Gold,Fairy, Make It Rain, Shadow Ball, Nasty Plot, Protect,176,6,3,North America International
Amoonguss ,Rocky Helmet,Regenerator,Water, Spore, Pollen Puff, Sludge Bomb, Rage Powder,176,6,3,North America International
Incineroar ,Sitrus Berry,Intimidate,Grass, Fake Out, Flare Blitz, Knock Off, Parting Shot,176,6,3,North America International
Rillaboom ,Miracle Seed,Grassy Surge,Fire, Fake Out, Wood Hammer, Grassy Glide, High Horsepower,177,6,3,North America International
Gouging Fire ,Clear Amulet,Protosynthesis,Fairy, Breaking Swipe, Heat Crash, Burning Bulwark, Dragon Dance,177,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Icy Wind,177,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,177,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Steel, Tailwind, Sunny Day, Air Slash, Taunt,177,6,3,North America International
Okidogi ,Assault Vest,Guard Dog,Flying, Poison Jab, Drain Punch, Upper Hand, Knock Off,177,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Wood Hammer, Spiky Shield, Follow Me,178,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Sucker Punch, Sacred Sword, Ice Spinner, Protect,178,6,3,North America International
